## htsjdk.samtools.metrics.StringHeader
# picard.analysis.directed.CalculateHsMetrics BAIT_INTERVALS=[/work/jelber2/reference/immunome_baits_C_picta-3.0.3.interval.list] BAIT_SET_NAME=Immunome TARGET_INTERVALS=[/work/jelber2/reference/immunome_baits_C_picta-3.0.3.interval.list] INPUT=ALL-samples-recal03.bam OUTPUT=ALL-samples-recal03-baitsonly.hsmetrics.txt METRIC_ACCUMULATION_LEVEL=[ALL_READS, SAMPLE] REFERENCE_SEQUENCE=/work/jelber2/reference/GCF_000241765.3_Chrysemys_picta_bellii-3.0.3_genomic.fna    VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 27 14:34:58 CST 2015

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	SAMPLE
Immunome	2365766571	1425410	1425410	1	47462805	47462805	22478820	1	0.473609	22198593	0.987534	1688354876	1492591787	195763089	0	1492591787	1	0	0.884051	1047.131553	1077.060114	0.381455	0.381455	1467.267847	0.046512	6.11966	0.945719	0.919665	0.902909	0.890159	0.877966	0.867541	0.825743	15033801	7.076824	7.248611	7.441872	7.635132	7.854161	9.211279	0.530907	18.547741	ALL
Immunome	2365766571	1425410	1425410	1	3212450	3212450	1366863	1	0.425489	1349947	0.987624	103848267	92227344	11620923	0	92227344	1	0	0.888097	64.702327	68.589926	0.335885	0.335885	1473.983214	0.09122	4.89928	0.891716	0.792728	0.709051	0.635059	0.567085	0.505282	0.251132	887140	8.548395	-1	-1	-1	-1	-1	0.551988	17.77197	AL102
Immunome	2365766571	1425410	1425410	1	4465410	4465410	1860106	1	0.416559	1836605	0.987366	138853620	122922722	15930898	0	122922722	1	0	0.885268	86.236747	91.095005	0.330565	0.330565	1469.288406	0.087074	5.35853	0.897665	0.811555	0.74194	0.681634	0.628602	0.578516	0.365844	1155122	8.488365	-1	-1	-1	-1	-1	0.848494	18.910383	AL103
Immunome	2365766571	1425410	1425410	1	3359715	3359715	1532728	1	0.456208	1514376	0.988027	115361969	102149772	13212197	0	102149772	1	0	0.885472	71.663432	75.928899	0.364099	0.364099	1469.626015	0.089778	5.423493	0.891563	0.797676	0.716972	0.650588	0.587966	0.530104	0.29531	1024528	9.248304	-1	-1	-1	-1	-1	0.779839	18.839121	AL106
Immunome	2365766571	1425410	1425410	1	2819070	2819070	1323625	1	0.469525	1302997	0.984416	99413204	87573237	11839967	0	87573237	1	0	0.880901	61.437226	64.839038	0.377256	0.377256	1462.040562	0.08473	4.322603	0.900395	0.808492	0.724334	0.644619	0.567679	0.494311	0.214418	852374	7.247445	-1	-1	-1	-1	-1	0.848509	12.607642	AL108
Immunome	2365766571	1425410	1425410	1	3053761	3053761	1474810	1	0.482949	1456711	0.987728	110202407	97510477	12691930	0	97510477	1	0	0.884831	68.408722	73.095485	0.392412	0.392412	1468.562013	0.100775	5.62273	0.882992	0.778927	0.692006	0.620245	0.558566	0.501675	0.268714	989880	10.050817	-1	-1	-1	-1	-1	0.440445	20.380221	FL846
Immunome	2365766571	1425410	1425410	1	3001641	3001641	1500403	1	0.499861	1482577	0.988119	112769878	99811299	12958579	0	99811299	1	0	0.885088	70.02287	74.522331	0.404522	0.404522	1468.989484	0.095547	5.732487	0.887601	0.787757	0.70426	0.634199	0.574414	0.516394	0.282778	1045777	9.969786	-1	-1	-1	-1	-1	0.459572	19.6492	FL855
Immunome	2365766571	1425410	1425410	1	4126014	4126014	1994110	1	0.483302	1969693	0.987755	147957144	130567210	17389934	0	130567210	1	0	0.882466	91.599757	97.244284	0.39241	0.39241	1464.63792	0.091761	5.720252	0.894526	0.809096	0.736741	0.678215	0.624589	0.579252	0.382431	1368450	8.715434	18.439003	-1	-1	-1	-1	1.28655	20.627259	FL857
Immunome	2365766571	1425410	1425410	1	2495515	2495515	1187425	1	0.475824	1170799	0.985998	88969320	78402415	10566905	0	78402415	1	0	0.88123	55.003413	58.693892	0.385514	0.385514	1462.585483	0.098972	4.891158	0.885422	0.774702	0.677526	0.59254	0.514868	0.443297	0.181104	767216	9.693064	-1	-1	-1	-1	-1	1.112367	15.665765	FL880
Immunome	2365766571	1425410	1425410	1	2735000	2735000	1380723	1	0.504835	1364377	0.988161	104007265	91892852	12114413	0	91892852	1	0	0.883523	64.467663	68.763606	0.409248	0.409248	1466.392207	0.098432	5.289508	0.88411	0.781241	0.692348	0.620398	0.555821	0.497171	0.254214	966099	9.237069	-1	-1	-1	-1	-1	1.244228	20.234064	GA1044
Immunome	2365766571	1425410	1425410	1	3114664	3114664	1495233	1	0.480062	1477571	0.988188	112057982	99127972	12930010	0	99127972	1	0	0.884613	69.54348	74.24809	0.389097	0.389097	1468.200994	0.100595	6.187341	0.880565	0.77723	0.692231	0.623397	0.564098	0.508473	0.282756	998500	11.828408	-1	-1	-1	-1	-1	1.466924	21.481686	GA1435
Immunome	2365766571	1425410	1425410	1	3160564	3160564	1501369	1	0.475032	1483375	0.988015	112685732	99626393	13059339	0	99626393	1	0	0.884108	69.893149	74.299824	0.383693	0.383693	1467.363007	0.093925	5.715371	0.888572	0.787599	0.704834	0.635163	0.574303	0.518304	0.282131	990715	10.317734	-1	-1	-1	-1	-1	0.592607	20.019381	GA1835
Immunome	2365766571	1425410	1425410	1	1692328	1692328	863082	1	0.509997	852551	0.987798	65495907	57872766	7623141	0	57872766	1	0	0.883609	40.600786	43.745119	0.416815	0.416815	1466.53411	0.114837	5.46814	0.864697	0.727956	0.61147	0.51337	0.422264	0.34075	0.082111	581025	-1	-1	-1	-1	-1	-1	0.242321	19.156392	GA462
Immunome	2365766571	1425410	1425410	1	2490648	2490648	1184563	1	0.475604	1170343	0.987996	89764574	79227670	10536904	0	79227670	1	0	0.882616	55.582373	59.379386	0.380944	0.380944	1464.886576	0.102939	5.398126	0.879375	0.766873	0.672087	0.589827	0.516501	0.449004	0.192277	799011	11.37636	-1	-1	-1	-1	-1	0.760921	18.44698	LA62
Immunome	2365766571	1425410	1425410	1	2366268	2366268	1152176	1	0.486917	1136347	0.986262	86219500	75909433	10310067	0	75909433	1	0	0.880421	53.254455	56.713878	0.395818	0.395818	1461.242641	0.09771	5.671388	0.880991	0.760048	0.653586	0.563173	0.484008	0.415398	0.174628	769384	13.658371	-1	-1	-1	-1	-1	1.165543	14.115704	LA66
Immunome	2365766571	1425410	1425410	1	3449116	3449116	1593321	1	0.461951	1574096	0.987934	120130562	106352937	13777625	0	106352937	1	0	0.885311	74.612173	79.011994	0.368746	0.368746	1469.359511	0.088516	5.267466	0.893021	0.800736	0.722789	0.65685	0.598278	0.54251	0.308666	1072617	8.608902	-1	-1	-1	-1	-1	0.867261	18.669414	LA77
Immunome	2365766571	1425410	1425410	1	1920641	1920641	1068283	1	0.556212	1056228	0.988716	80617545	71417288	9200257	0	71417288	1	0	0.885878	50.102979	53.784583	0.456446	0.456446	1470.299722	0.109789	5.976065	0.867369	0.743077	0.63859	0.552495	0.477182	0.409909	0.159669	874373	12.68972	-1	-1	-1	-1	-1	1.072063	20.333275	LA78


